pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,v,93,1,23,x,0,0.43274449999444187,None,23,1,93,1,,,,,254.3088618000038,,254.29352669999935,254.3088618000038,255.30805759993382,255.30805759993382,255.30805759993382,255.30805759993382,255.30805759993382,256.3071203001309,256.3071203001309,256.7411150999833,x,0,0.43274449999444187,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,94,2,23,c,1,0.3783524001482874,None,23,2,94,2,,,,,256.7569116000086,,256.74179910006933,256.7569116000086,257.75627060001716,257.75627060001716,257.75627060001716,257.75627060001716,257.75627060001716,258.75507350009866,258.75507350009866,259.1389196999371,c,1,0.3783524001482874,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
150,z,95,3,23,v,0,0.35141429980285466,None,23,3,95,3,,,,,259.15505270008,,259.13940240000375,259.15505270008,260.1539356999565,260.1539356999565,260.1539356999565,260.1539356999565,260.1703836999368,261.1528837000951,261.1528837000951,261.5206484000664,v,0,0.35141429980285466,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,96,0,24,z,0,0.44293690007179976,None,24,0,96,0,,,,,261.5363463999238,,261.52115470007993,261.5363463999238,262.53525630012155,262.53525630012155,262.53525630012155,262.53525630012155,262.53525630012155,263.53479470009916,263.53479470009916,263.9851007000543,z,0,0.44293690007179976,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,97,1,24,x,0,0.44441880006343126,None,24,1,97,1,,,,,264.00106710009277,,263.98562759999186,264.00106710009277,265.00013500009663,265.00013500009663,265.00013500009663,265.00013500009663,265.00013500009663,266.00029590004124,266.00029590004124,266.4495993000455,x,0,0.44441880006343126,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,98,2,24,c,1,0.3144580000080168,None,24,2,98,2,,,,,266.46555180009454,,266.45009570010006,266.46555180009454,267.46478849998675,267.46478849998675,267.46478849998675,267.46478849998675,267.46478849998675,268.4634722999763,268.4634722999763,268.7807348999195,c,1,0.3144580000080168,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
150,z,99,3,24,v,0,0.142340499907732,None,24,3,99,3,,,,,268.7967598999385,,268.7811966999434,268.7967598999385,269.79655620013364,269.79655620013364,269.79655620013364,269.79655620013364,269.79655620013364,270.7949967000168,270.7949967000168,270.9463150999509,v,0,0.142340499907732,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,100,0,25,z,0,1.4930374999530613,None,25,0,100,0,,,,,270.96168980002403,,270.9468219000846,270.96168980002403,271.9610920001287,271.9610920001287,271.9610920001287,271.9610920001287,271.9610920001287,272.95989580010064,272.95989580010064,274.45971700013615,z,0,1.4930374999530613,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,101,1,25,x,0,0.5832130000926554,None,25,1,101,1,,,,,274.476003699936,,274.46021810011007,274.476003699936,275.475420499919,275.475420499919,275.475420499919,275.475420499919,275.4914583999198,276.47406699997373,276.47406699997373,277.07376589998603,x,0,0.5832130000926554,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,102,2,25,c,1,0.9369321998674423,None,25,2,102,2,,,,,277.0899064000696,,277.07424400001764,277.0899064000696,278.0892111000139,278.0892111000139,278.0892111000139,278.0892111000139,278.0892111000139,279.0886582999956,279.0886582999956,280.0390649000183,c,1,0.9369321998674423,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
