thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
36,0,36,up,1,0.6733600001316518,None,0,36,0,36,0,85.33280239999294,,85.31506769987755,85.33280239999294,86.31625350005925,86.33037770004012,86.99727809987962,up,1,0.6733600001316518,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
37,0,37,up,1,0.5742603000253439,None,0,37,0,37,0,87.01489569991827,,86.99764279997908,87.01489569991827,87.9975336000789,88.01263480004855,88.57933039986528,up,1,0.5742603000253439,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
38,0,38,up,0,0.5137752001173794,None,-2,38,0,38,0,88.59695899998769,,88.5797435999848,88.59695899998769,89.57988539990038,89.5946160000749,90.09475639997981,up,0,0.5137752001173794,None,-2,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
39,0,39,down,1,0.7107943999581039,None,4,39,0,39,0,90.11216109991074,,90.09524909988977,90.11216109991074,91.09489910001867,91.10979459993541,91.80937859998085,down,1,0.7107943999581039,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
40,0,40,down,1,0.5857903000432998,None,-5,40,0,40,0,91.82760660001077,,91.80974379996769,91.82760660001077,92.81042269989848,92.82539450004697,93.40852309996262,down,1,0.5857903000432998,None,-5,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
41,0,41,down,1,1.2054864999372512,None,2,41,0,41,0,93.42652760003693,,93.40901639987715,93.42652760003693,94.40900340001099,94.42385190003552,95.62335269991308,down,1,1.2054864999372512,None,2,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
42,0,42,down,1,0.7165475999936461,None,-3,42,0,42,0,95.64141829987057,,95.62374279997312,95.64141829987057,96.62380709988065,96.63902379991487,97.35531140002422,down,1,0.7165475999936461,None,-3,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
43,0,43,up,1,0.873476899927482,None,0,43,0,43,0,97.37340879999101,,97.35572910006158,97.37340879999101,98.35559069993906,98.38748129992746,99.23677559988573,up,1,0.873476899927482,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
44,0,44,down,1,1.0955246998928487,None,4,44,0,44,0,99.25469019985758,,99.2370493998751,99.25469019985758,100.2374749998562,100.25242140004411,101.3352832000237,down,1,1.0955246998928487,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
45,0,45,up,1,0.8231604997999966,None,0,45,0,45,0,101.35276829986833,,101.33546829991974,101.35276829986833,102.33588929986581,102.35049579991028,103.167371599935,up,1,0.8231604997999966,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
46,0,46,down,1,0.7078520997893065,None,4,46,0,46,0,103.18504610005766,,103.16780119994655,103.18504610005766,104.16766959987581,104.18256990006194,104.88251499994658,down,1,0.7078520997893065,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
47,0,47,up,0,0.8046782000456005,None,-3,47,0,47,0,104.90047029987909,,104.88301540003158,104.90047029987909,105.88261009985581,105.91467079985887,106.69756640004925,up,0,0.8046782000456005,None,-3,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
